project_id,project_name,description,start_date,deadline,status,risk_level
P03091,Healthcare Management System,Healthcare Management System project for PeopleFirst,2026-06-01,2026-08-07,Completed,Medium
P03092,Employee Training Portal,Employee Training Portal project for DataCorp,2025-01-29,2025-07-26,Planning,High
P03093,Cybersecurity Upgrade,Cybersecurity Upgrade project for PeopleFirst,2025-03-01,2025-08-09,In Progress,High
P03094,Customer Support Chatbot,Customer Support Chatbot project for EduTech,2026-07-22,2026-12-11,Delayed,Medium
P03095,Document Management System,Document Management System project for SalesPro,2026-01-02,2026-08-31,Planning,Medium
P03096,Employee Payroll System,Employee Payroll System project for MedCare Hospitals,2025-12-08,2026-09-06,In Progress,Low
P03097,Inventory Management System,Inventory Management System project for ABC Corporation,2025-01-25,2025-03-26,In Progress,Low
P03098,Healthcare Management System,Healthcare Management System project for FinanceCorp,2025-08-25,2026-01-26,Completed,Medium
P03099,Inventory Management System,Inventory Management System project for FinanceCorp,2025-12-12,2026-02-04,Completed,Critical
P03100,Financial Reporting Dashboard,Financial Reporting Dashboard project for DataCorp,2025-11-16,2026-09-19,Planning,Medium
P03101,Employee Training Portal,Employee Training Portal project for ABC Corporation,2025-11-09,2026-10-16,In Progress,Medium
P03102,Mobile Banking Application,Mobile Banking Application project for FinTech Solutions,2025-03-09,2025-09-18,Completed,Low
P03103,E-Commerce Platform,E-Commerce Platform project for ABC Retail,2026-08-17,2027-07-30,In Progress,Medium
P03104,Supply Chain Analytics,Supply Chain Analytics project for DigitalHub,2026-02-26,2026-10-30,In Progress,Medium
P03105,Cybersecurity Upgrade,Cybersecurity Upgrade project for LogiTech,2025-05-25,2026-04-13,In Progress,Critical
P03106,Healthcare Management System,Healthcare Management System project for EduTech,2026-08-05,2027-07-19,Completed,Medium
P03107,Social Media Analytics,Social Media Analytics project for OfficePro,2025-06-30,2026-02-17,Planning,Low
P03108,Employee Training Portal,Employee Training Portal project for FinTech Solutions,2025-03-20,2025-09-23,In Progress,Low
P03109,Document Management System,Document Management System project for OfficePro,2026-06-20,2027-03-29,In Progress,Medium
P03110,Customer Support Chatbot,Customer Support Chatbot project for SecureNet,2025-04-02,2025-07-10,Planning,Medium
P03111,Cloud Migration Project,Cloud Migration Project project for SalesPro,2025-02-06,2025-06-25,Delayed,Medium
P03112,Employee Payroll System,Employee Payroll System project for LogiTech,2026-01-13,2026-08-21,Delayed,Medium
P03113,HR Automation System,HR Automation System project for SecureNet,2025-06-08,2025-09-25,In Progress,Medium
P03114,Document Management System,Document Management System project for ServicePro,2025-04-02,2025-10-22,In Progress,Low
P03115,Employee Training Portal,Employee Training Portal project for MedCare Hospitals,2025-03-03,2026-01-15,In Progress,High
P03116,Marketing Analytics Platform,Marketing Analytics Platform project for RetailAnalytics,2025-03-17,2026-01-06,In Progress,High
P03117,CRM Implementation,CRM Implementation project for FinanceCorp,2026-07-31,2027-06-26,In Progress,Medium
P03118,CRM Implementation,CRM Implementation project for SecureNet,2026-02-07,2026-12-24,In Progress,Medium
P03119,E-Commerce Platform,E-Commerce Platform project for OfficePro,2026-05-21,2026-10-19,In Progress,Medium
P03120,Social Media Analytics,Social Media Analytics project for EduTech,2026-01-07,2026-10-07,Completed,Low
P03121,CRM Implementation,CRM Implementation project for FinanceCorp,2025-11-23,2026-05-06,In Progress,Medium
P03122,AI Demand Forecasting,AI Demand Forecasting project for IndustrialTech,2025-05-11,2026-05-01,In Progress,High
P03123,Marketing Analytics Platform,Marketing Analytics Platform project for IndustrialTech,2026-08-04,2026-11-13,In Progress,Medium
P03124,CRM Implementation,CRM Implementation project for CloudWorks,2026-05-09,2026-09-17,In Progress,Medium
P03125,Supply Chain Analytics,Supply Chain Analytics project for FinTech Solutions,2025-11-13,2026-10-25,In Progress,Medium
P03126,Social Media Analytics,Social Media Analytics project for LogiTech,2025-03-05,2025-07-04,In Progress,Medium
P03127,Warehouse Automation,Warehouse Automation project for LogiTech,2026-04-02,2026-12-01,On Hold,Medium
P03128,Document Management System,Document Management System project for Global Traders,2025-07-19,2025-12-04,In Progress,High
P03129,Cloud Migration Project,Cloud Migration Project project for LogiTech,2025-05-06,2025-09-19,Planning,Medium
P03130,Employee Payroll System,Employee Payroll System project for Global Traders,2026-03-20,2026-12-04,In Progress,High
P03131,Employee Training Portal,Employee Training Portal project for DataCorp,2026-05-18,2027-03-13,In Progress,Critical
P03132,Marketing Analytics Platform,Marketing Analytics Platform project for LogiTech,2026-01-04,2026-05-03,Delayed,Medium
P03133,Employee Payroll System,Employee Payroll System project for SecureNet,2025-02-14,2026-02-08,In Progress,Medium
P03134,HR Automation System,HR Automation System project for MarketPlus,2025-12-27,2026-03-10,Delayed,Medium
P03135,Cybersecurity Upgrade,Cybersecurity Upgrade project for SecureNet,2026-07-06,2026-09-21,In Progress,High
P03136,E-Commerce Platform,E-Commerce Platform project for SecureNet,2026-02-16,2027-02-08,In Progress,High
P03137,Online Learning Platform,Online Learning Platform project for Global Traders,2025-06-09,2025-08-10,In Progress,High
P03138,Marketing Analytics Platform,Marketing Analytics Platform project for LogiTech,2026-01-23,2026-06-17,In Progress,Medium
P03139,Marketing Analytics Platform,Marketing Analytics Platform project for SecureNet,2025-05-30,2025-08-21,In Progress,High
P03140,Marketing Analytics Platform,Marketing Analytics Platform project for EduTech,2026-06-09,2026-10-03,In Progress,Medium
P03141,Marketing Analytics Platform,Marketing Analytics Platform project for ServicePro,2026-05-23,2026-07-30,In Progress,High
P03142,Supply Chain Analytics,Supply Chain Analytics project for IndustrialTech,2025-12-08,2026-05-16,Completed,High
P03143,Marketing Analytics Platform,Marketing Analytics Platform project for Global Traders,2025-03-23,2025-08-09,In Progress,High
P03144,Online Learning Platform,Online Learning Platform project for RetailAnalytics,2025-08-29,2025-12-02,In Progress,Low
P03145,Employee Payroll System,Employee Payroll System project for SecureNet,2025-03-14,2025-12-13,Delayed,Medium
P03146,Online Learning Platform,Online Learning Platform project for MedCare Hospitals,2026-04-05,2026-05-31,In Progress,High
P03147,CRM Implementation,CRM Implementation project for Global Traders,2026-02-13,2026-08-28,In Progress,Low
P03148,Warehouse Automation,Warehouse Automation project for OfficePro,2025-06-05,2025-10-25,In Progress,Medium
P03149,AI Demand Forecasting,AI Demand Forecasting project for CloudWorks,2026-05-29,2027-02-06,In Progress,High
P03150,Mobile Banking Application,Mobile Banking Application project for IndustrialTech,2026-04-01,2026-09-01,In Progress,High
P03151,Cybersecurity Upgrade,Cybersecurity Upgrade project for IndustrialTech,2026-07-16,2027-01-28,In Progress,High
P03152,Customer Support Chatbot,Customer Support Chatbot project for XYZ Technologies,2025-06-17,2026-04-17,Completed,Low
P03153,Inventory Management System,Inventory Management System project for DataCorp,2025-04-15,2025-07-15,In Progress,High
P03154,Employee Payroll System,Employee Payroll System project for MedCare Hospitals,2025-10-16,2026-04-18,Completed,High
P03155,HR Automation System,HR Automation System project for OfficePro,2025-06-09,2026-01-19,Planning,Low
P03156,Warehouse Automation,Warehouse Automation project for ServicePro,2026-03-20,2026-12-25,In Progress,Medium
P03157,Employee Payroll System,Employee Payroll System project for ABC Retail,2025-09-13,2026-04-17,In Progress,High
P03158,AI Demand Forecasting,AI Demand Forecasting project for DataCorp,2026-01-12,2026-10-19,In Progress,Medium
P03159,Data Warehouse Development,Data Warehouse Development project for EduTech,2025-04-14,2026-02-07,In Progress,Medium
P03160,Social Media Analytics,Social Media Analytics project for EduTech,2025-02-21,2025-12-15,Planning,Low
P03161,Mobile Banking Application,Mobile Banking Application project for FinanceCorp,2026-07-17,2027-03-15,In Progress,High
P03162,Social Media Analytics,Social Media Analytics project for MarketPlus,2025-09-25,2026-08-29,In Progress,Medium
P03163,Inventory Management System,Inventory Management System project for RetailAnalytics,2025-03-25,2025-05-16,In Progress,Medium
P03164,Healthcare Management System,Healthcare Management System project for PeopleFirst,2026-05-03,2026-11-23,In Progress,Medium
P03165,Mobile Banking Application,Mobile Banking Application project for RetailAnalytics,2025-03-21,2026-01-16,In Progress,Low
P03166,Supply Chain Analytics,Supply Chain Analytics project for MedCare Hospitals,2026-08-22,2026-11-08,In Progress,Medium
P03167,Cybersecurity Upgrade,Cybersecurity Upgrade project for DigitalHub,2025-08-20,2026-06-22,In Progress,Medium
P03168,Financial Reporting Dashboard,Financial Reporting Dashboard project for ABC Corporation,2025-10-08,2025-12-04,In Progress,Medium
P03169,Warehouse Automation,Warehouse Automation project for OfficePro,2025-06-05,2026-03-28,In Progress,Medium
P03170,CRM Implementation,CRM Implementation project for DigitalHub,2025-02-21,2025-06-05,Delayed,Medium
P03171,CRM Implementation,CRM Implementation project for Global Traders,2025-09-03,2026-05-19,Completed,Medium
P03172,Document Management System,Document Management System project for RetailAnalytics,2025-08-08,2026-06-14,Planning,Low
P03173,Supply Chain Analytics,Supply Chain Analytics project for SalesPro,2025-09-26,2026-07-28,In Progress,Medium
P03174,Healthcare Management System,Healthcare Management System project for PeopleFirst,2025-10-21,2026-06-06,Delayed,Low
P03175,AI Demand Forecasting,AI Demand Forecasting project for EduTech,2026-01-14,2026-12-15,In Progress,Medium
P03176,Online Learning Platform,Online Learning Platform project for ServicePro,2025-02-14,2025-05-14,In Progress,Low
P03177,CRM Implementation,CRM Implementation project for RetailAnalytics,2025-08-06,2025-12-04,Completed,Medium
P03178,Financial Reporting Dashboard,Financial Reporting Dashboard project for FinTech Solutions,2026-06-03,2026-08-29,In Progress,Medium
P03179,Customer Support Chatbot,Customer Support Chatbot project for IndustrialTech,2026-07-26,2027-04-27,Planning,Critical
P03180,Inventory Management System,Inventory Management System project for ServicePro,2025-11-20,2026-10-16,In Progress,Medium
P03181,Customer Support Chatbot,Customer Support Chatbot project for PeopleFirst,2025-08-08,2026-07-16,Planning,High
P03182,Inventory Management System,Inventory Management System project for LogiTech,2025-09-07,2026-04-06,In Progress,Low
P03183,Cybersecurity Upgrade,Cybersecurity Upgrade project for ServicePro,2026-04-15,2026-07-11,In Progress,Medium
P03184,HR Automation System,HR Automation System project for ServicePro,2025-08-27,2025-12-05,In Progress,Medium
P03185,CRM Implementation,CRM Implementation project for MedCare Hospitals,2026-07-21,2027-03-23,In Progress,Low
P03186,Document Management System,Document Management System project for OfficePro,2025-01-17,2025-12-14,Planning,High
P03187,Employee Payroll System,Employee Payroll System project for PeopleFirst,2025-12-30,2026-12-26,Planning,Low
P03188,Supply Chain Analytics,Supply Chain Analytics project for DataCorp,2025-11-08,2026-08-10,Delayed,High
P03189,HR Automation System,HR Automation System project for SalesPro,2025-09-28,2026-08-20,In Progress,Medium
P03190,Warehouse Automation,Warehouse Automation project for LogiTech,2025-10-13,2026-04-28,In Progress,High
P03191,E-Commerce Platform,E-Commerce Platform project for OfficePro,2025-04-06,2025-07-22,In Progress,Medium
P03192,Data Warehouse Development,Data Warehouse Development project for FinanceCorp,2025-07-27,2026-02-05,In Progress,Medium
P03193,Data Warehouse Development,Data Warehouse Development project for OfficePro,2025-08-01,2025-10-16,In Progress,High
P03194,Inventory Management System,Inventory Management System project for ABC Corporation,2026-01-31,2026-10-18,Planning,Medium
P03195,Cybersecurity Upgrade,Cybersecurity Upgrade project for MedCare Hospitals,2025-12-25,2026-05-24,On Hold,High
P03196,Inventory Management System,Inventory Management System project for MarketPlus,2025-09-04,2026-02-04,In Progress,Medium
P03197,Customer Support Chatbot,Customer Support Chatbot project for SecureNet,2025-11-07,2025-12-22,In Progress,High
P03198,Warehouse Automation,Warehouse Automation project for SecureNet,2025-12-10,2026-12-09,Delayed,High
P03199,AI Demand Forecasting,AI Demand Forecasting project for PeopleFirst,2025-01-29,2025-07-29,In Progress,Medium
P03200,Financial Reporting Dashboard,Financial Reporting Dashboard project for XYZ Technologies,2026-06-16,2027-04-08,In Progress,High
P03201,Document Management System,Document Management System project for Global Traders,2026-06-20,2027-01-17,In Progress,High
P03202,Document Management System,Document Management System project for IndustrialTech,2025-08-07,2026-04-14,In Progress,Low
P03203,Employee Payroll System,Employee Payroll System project for RetailAnalytics,2026-04-02,2026-10-13,In Progress,Low
P03204,Mobile Banking Application,Mobile Banking Application project for FinTech Solutions,2025-08-27,2026-05-18,Completed,High
P03205,Financial Reporting Dashboard,Financial Reporting Dashboard project for OfficePro,2025-02-10,2025-05-29,Planning,High
P03206,Data Warehouse Development,Data Warehouse Development project for FinanceCorp,2026-06-04,2027-06-02,In Progress,Critical
P03207,AI Demand Forecasting,AI Demand Forecasting project for RetailAnalytics,2025-06-10,2025-12-08,In Progress,High
P03208,Warehouse Automation,Warehouse Automation project for RetailAnalytics,2025-08-03,2025-09-20,Planning,Medium
P03209,Supply Chain Analytics,Supply Chain Analytics project for SalesPro,2025-12-12,2026-11-26,On Hold,Low
P03210,Customer Support Chatbot,Customer Support Chatbot project for Global Traders,2025-09-21,2025-11-12,In Progress,Medium
P03211,AI Demand Forecasting,AI Demand Forecasting project for PeopleFirst,2025-06-09,2025-12-22,Planning,Medium
P03212,Financial Reporting Dashboard,Financial Reporting Dashboard project for FinTech Solutions,2026-04-26,2027-02-16,In Progress,Critical
P03213,Healthcare Management System,Healthcare Management System project for MedCare Hospitals,2025-08-02,2026-01-12,Completed,High
P03214,AI Demand Forecasting,AI Demand Forecasting project for SalesPro,2025-12-22,2026-04-13,In Progress,Critical
P03215,Online Learning Platform,Online Learning Platform project for XYZ Technologies,2026-02-04,2026-06-05,In Progress,High
P03216,Financial Reporting Dashboard,Financial Reporting Dashboard project for ABC Corporation,2026-07-15,2027-04-05,Completed,High
P03217,E-Commerce Platform,E-Commerce Platform project for PeopleFirst,2025-10-15,2026-05-31,In Progress,Medium
P03218,Supply Chain Analytics,Supply Chain Analytics project for XYZ Technologies,2025-10-10,2026-05-04,In Progress,Medium
P03219,AI Demand Forecasting,AI Demand Forecasting project for ABC Corporation,2026-07-02,2027-01-27,In Progress,Medium
P03220,Supply Chain Analytics,Supply Chain Analytics project for ABC Retail,2025-10-15,2026-03-10,Completed,High
P03221,Data Warehouse Development,Data Warehouse Development project for DataCorp,2025-06-28,2026-06-07,Delayed,Medium
P03222,Financial Reporting Dashboard,Financial Reporting Dashboard project for XYZ Technologies,2025-01-26,2025-05-25,Delayed,Critical
P03223,Employee Payroll System,Employee Payroll System project for FinanceCorp,2025-07-14,2026-05-23,In Progress,Medium
P03224,Employee Payroll System,Employee Payroll System project for CloudWorks,2025-04-29,2026-02-16,Completed,Medium
P03225,CRM Implementation,CRM Implementation project for ServicePro,2025-07-02,2025-08-18,Completed,Medium
P03226,Employee Payroll System,Employee Payroll System project for ServicePro,2025-11-20,2026-02-27,In Progress,Medium
P03227,Online Learning Platform,Online Learning Platform project for IndustrialTech,2025-11-11,2026-06-20,Delayed,Medium
P03228,Employee Training Portal,Employee Training Portal project for PeopleFirst,2025-04-23,2025-07-27,Delayed,Medium
P03229,Cybersecurity Upgrade,Cybersecurity Upgrade project for XYZ Technologies,2025-10-06,2026-08-19,Completed,Low
P03230,Warehouse Automation,Warehouse Automation project for DigitalHub,2025-09-30,2026-04-04,Planning,Medium
P03231,Warehouse Automation,Warehouse Automation project for MarketPlus,2025-01-26,2025-12-04,In Progress,Medium
P03232,Customer Support Chatbot,Customer Support Chatbot project for FinTech Solutions,2025-06-19,2025-09-10,Delayed,Critical
P03233,Data Warehouse Development,Data Warehouse Development project for OfficePro,2026-03-10,2026-05-01,On Hold,Medium
P03234,E-Commerce Platform,E-Commerce Platform project for MedCare Hospitals,2025-01-13,2025-09-20,In Progress,Medium
P03235,Online Learning Platform,Online Learning Platform project for MedCare Hospitals,2025-06-30,2026-04-27,In Progress,Critical
P03236,Online Learning Platform,Online Learning Platform project for FinTech Solutions,2025-10-13,2026-10-10,In Progress,Medium
P03237,Employee Training Portal,Employee Training Portal project for DigitalHub,2025-04-10,2026-02-01,Planning,Critical
P03238,AI Demand Forecasting,AI Demand Forecasting project for FinanceCorp,2026-01-23,2026-11-03,In Progress,Critical
P03239,Social Media Analytics,Social Media Analytics project for EduTech,2026-03-06,2026-05-08,Delayed,High
P03240,E-Commerce Platform,E-Commerce Platform project for ServicePro,2025-07-22,2026-03-17,In Progress,Medium
P03241,Customer Support Chatbot,Customer Support Chatbot project for DigitalHub,2025-05-19,2026-02-16,Completed,High
P03242,Customer Support Chatbot,Customer Support Chatbot project for PeopleFirst,2026-04-11,2026-09-29,In Progress,Medium
P03243,Social Media Analytics,Social Media Analytics project for CloudWorks,2025-05-10,2026-05-09,In Progress,Medium
P03244,Cloud Migration Project,Cloud Migration Project project for MedCare Hospitals,2025-03-29,2026-03-25,In Progress,Medium
P03245,Cybersecurity Upgrade,Cybersecurity Upgrade project for DataCorp,2025-01-20,2025-12-04,In Progress,Medium
P03246,Warehouse Automation,Warehouse Automation project for MarketPlus,2025-02-24,2026-01-16,Completed,Low
P03247,Employee Payroll System,Employee Payroll System project for OfficePro,2026-06-07,2027-01-19,In Progress,High
P03248,HR Automation System,HR Automation System project for DataCorp,2026-07-15,2027-05-18,Delayed,Low
P03249,Mobile Banking Application,Mobile Banking Application project for ABC Retail,2025-11-24,2026-01-30,Planning,Medium
P03250,Employee Training Portal,Employee Training Portal project for IndustrialTech,2026-07-07,2026-11-02,Delayed,Medium
P03251,Healthcare Management System,Healthcare Management System project for Global Traders,2026-03-01,2026-11-13,In Progress,Medium
P03252,Cybersecurity Upgrade,Cybersecurity Upgrade project for MedCare Hospitals,2025-09-01,2025-11-24,In Progress,High
P03253,Inventory Management System,Inventory Management System project for LogiTech,2026-03-04,2027-01-03,Planning,High
P03254,Employee Training Portal,Employee Training Portal project for ServicePro,2025-09-09,2025-12-19,In Progress,High
P03255,Customer Support Chatbot,Customer Support Chatbot project for OfficePro,2026-08-01,2027-01-04,In Progress,High
P03256,Inventory Management System,Inventory Management System project for RetailAnalytics,2026-05-26,2026-09-30,Delayed,High
P03257,Inventory Management System,Inventory Management System project for Global Traders,2026-05-22,2026-12-26,Completed,Medium
P03258,Inventory Management System,Inventory Management System project for MedCare Hospitals,2025-11-15,2026-01-25,Planning,Medium
P03259,Online Learning Platform,Online Learning Platform project for ABC Corporation,2025-11-07,2026-09-07,In Progress,Medium
P03260,Supply Chain Analytics,Supply Chain Analytics project for DataCorp,2025-03-12,2026-02-04,In Progress,Medium
P03261,Supply Chain Analytics,Supply Chain Analytics project for EduTech,2026-01-27,2026-11-07,Delayed,Critical
P03262,Marketing Analytics Platform,Marketing Analytics Platform project for DataCorp,2025-03-10,2025-06-22,Completed,High
P03263,Cybersecurity Upgrade,Cybersecurity Upgrade project for ABC Retail,2025-11-21,2026-04-07,In Progress,Medium
P03264,Social Media Analytics,Social Media Analytics project for CloudWorks,2025-03-20,2025-07-15,Planning,Low
P03265,Cloud Migration Project,Cloud Migration Project project for ServicePro,2025-10-13,2026-06-07,In Progress,High
P03266,CRM Implementation,CRM Implementation project for ServicePro,2026-04-14,2027-03-09,In Progress,Critical
P03267,Cybersecurity Upgrade,Cybersecurity Upgrade project for PeopleFirst,2025-07-05,2026-05-27,Planning,Critical
P03268,Data Warehouse Development,Data Warehouse Development project for FinTech Solutions,2025-12-28,2026-12-14,In Progress,High
P03269,Mobile Banking Application,Mobile Banking Application project for ABC Retail,2025-06-05,2026-02-25,Completed,High
P03270,AI Demand Forecasting,AI Demand Forecasting project for MarketPlus,2025-06-29,2025-10-22,In Progress,Low
P03271,Inventory Management System,Inventory Management System project for SecureNet,2025-04-20,2025-10-09,On Hold,Low
P03272,Supply Chain Analytics,Supply Chain Analytics project for CloudWorks,2025-04-08,2025-08-25,Completed,Medium
P03273,Data Warehouse Development,Data Warehouse Development project for Global Traders,2025-08-12,2025-10-16,In Progress,Medium
P03274,Supply Chain Analytics,Supply Chain Analytics project for PeopleFirst,2025-03-16,2026-01-11,Planning,Critical
P03275,Customer Support Chatbot,Customer Support Chatbot project for ABC Corporation,2026-06-19,2027-02-03,In Progress,High
P03276,Document Management System,Document Management System project for SecureNet,2026-03-21,2027-03-11,Completed,Medium
P03277,HR Automation System,HR Automation System project for ServicePro,2025-05-13,2026-03-23,In Progress,Medium
P03278,Customer Support Chatbot,Customer Support Chatbot project for OfficePro,2026-06-16,2027-02-23,Delayed,Medium
P03279,AI Demand Forecasting,AI Demand Forecasting project for FinanceCorp,2025-08-08,2025-10-05,Completed,Medium
P03280,Cybersecurity Upgrade,Cybersecurity Upgrade project for RetailAnalytics,2025-11-15,2026-05-20,In Progress,High
P03281,HR Automation System,HR Automation System project for ABC Corporation,2026-02-24,2026-09-08,Planning,High
P03282,Employee Payroll System,Employee Payroll System project for SecureNet,2026-04-09,2026-12-25,In Progress,High
P03283,AI Demand Forecasting,AI Demand Forecasting project for CloudWorks,2025-01-05,2025-08-19,In Progress,Medium
P03284,HR Automation System,HR Automation System project for XYZ Technologies,2025-06-19,2026-04-09,In Progress,High
P03285,Supply Chain Analytics,Supply Chain Analytics project for XYZ Technologies,2025-07-21,2025-09-11,Completed,Critical
P03286,Marketing Analytics Platform,Marketing Analytics Platform project for LogiTech,2025-12-18,2026-03-09,In Progress,High
P03287,Mobile Banking Application,Mobile Banking Application project for Global Traders,2026-06-08,2027-05-23,In Progress,Medium
P03288,Customer Support Chatbot,Customer Support Chatbot project for SalesPro,2025-09-20,2026-03-23,Completed,Medium
P03289,Inventory Management System,Inventory Management System project for FinTech Solutions,2025-10-06,2026-08-10,In Progress,Low
P03290,Inventory Management System,Inventory Management System project for EduTech,2025-02-22,2026-01-07,In Progress,Low
P03291,Supply Chain Analytics,Supply Chain Analytics project for ServicePro,2025-11-12,2026-02-03,In Progress,Medium
P03292,Marketing Analytics Platform,Marketing Analytics Platform project for Global Traders,2025-10-20,2026-07-17,Completed,High
P03293,Customer Support Chatbot,Customer Support Chatbot project for ABC Corporation,2026-01-18,2026-04-28,In Progress,Medium
P03294,Financial Reporting Dashboard,Financial Reporting Dashboard project for EduTech,2026-05-24,2026-08-26,In Progress,Medium
P03295,Inventory Management System,Inventory Management System project for ABC Corporation,2025-12-07,2026-04-09,Completed,Medium
P03296,Employee Payroll System,Employee Payroll System project for MedCare Hospitals,2025-02-01,2025-11-14,Completed,High
P03297,Customer Support Chatbot,Customer Support Chatbot project for MedCare Hospitals,2026-05-06,2026-07-19,Planning,Medium
P03298,Document Management System,Document Management System project for MedCare Hospitals,2025-10-14,2026-06-29,In Progress,Low
P03299,Cloud Migration Project,Cloud Migration Project project for LogiTech,2025-10-19,2026-04-04,In Progress,High
P03300,Warehouse Automation,Warehouse Automation project for IndustrialTech,2026-06-08,2026-10-15,In Progress,Medium
P03301,CRM Implementation,CRM Implementation project for EduTech,2025-12-20,2026-04-20,Delayed,Low
P03302,Financial Reporting Dashboard,Financial Reporting Dashboard project for LogiTech,2026-04-20,2026-09-22,In Progress,High
P03303,CRM Implementation,CRM Implementation project for SecureNet,2026-06-13,2026-11-16,Completed,Medium
P03304,Financial Reporting Dashboard,Financial Reporting Dashboard project for CloudWorks,2025-10-24,2026-03-18,On Hold,Medium
P03305,Mobile Banking Application,Mobile Banking Application project for OfficePro,2026-08-13,2027-03-11,In Progress,High
P03306,Financial Reporting Dashboard,Financial Reporting Dashboard project for EduTech,2025-04-13,2026-04-10,In Progress,Low
P03307,Financial Reporting Dashboard,Financial Reporting Dashboard project for ServicePro,2026-06-07,2026-12-13,Planning,Medium
P03308,Mobile Banking Application,Mobile Banking Application project for EduTech,2026-05-25,2026-09-05,In Progress,Medium
P03309,E-Commerce Platform,E-Commerce Platform project for PeopleFirst,2025-03-01,2025-10-27,On Hold,Medium
P03310,Document Management System,Document Management System project for ServicePro,2025-04-02,2026-02-06,On Hold,Low
P03311,Cloud Migration Project,Cloud Migration Project project for ServicePro,2025-01-23,2025-09-16,In Progress,Medium
P03312,Supply Chain Analytics,Supply Chain Analytics project for EduTech,2025-06-16,2026-01-16,Completed,Medium
P03313,Document Management System,Document Management System project for DigitalHub,2026-08-18,2027-05-04,Completed,High
P03314,Customer Support Chatbot,Customer Support Chatbot project for MedCare Hospitals,2025-03-16,2026-02-05,In Progress,Medium
P03315,Supply Chain Analytics,Supply Chain Analytics project for CloudWorks,2025-01-21,2025-03-31,Completed,Critical
P03316,Warehouse Automation,Warehouse Automation project for DataCorp,2025-10-03,2026-09-27,In Progress,Medium
P03317,CRM Implementation,CRM Implementation project for DataCorp,2025-08-01,2026-06-27,On Hold,Medium
P03318,Employee Training Portal,Employee Training Portal project for FinTech Solutions,2026-01-13,2026-12-31,Delayed,Medium
P03319,Financial Reporting Dashboard,Financial Reporting Dashboard project for ABC Corporation,2025-12-30,2026-07-22,In Progress,Low
P03320,E-Commerce Platform,E-Commerce Platform project for RetailAnalytics,2026-05-12,2027-03-26,In Progress,Medium
P03321,HR Automation System,HR Automation System project for DigitalHub,2025-09-06,2025-11-16,Delayed,Low
P03322,Inventory Management System,Inventory Management System project for PeopleFirst,2025-10-04,2026-03-30,Planning,High
P03323,Employee Payroll System,Employee Payroll System project for ABC Retail,2025-01-14,2025-12-06,In Progress,Medium
P03324,CRM Implementation,CRM Implementation project for LogiTech,2026-08-06,2026-12-15,In Progress,Low
P03325,Supply Chain Analytics,Supply Chain Analytics project for XYZ Technologies,2025-05-08,2026-02-21,In Progress,High
P03326,Employee Payroll System,Employee Payroll System project for MedCare Hospitals,2025-12-24,2026-05-20,Planning,Medium
P03327,Inventory Management System,Inventory Management System project for DigitalHub,2026-06-13,2027-02-01,In Progress,High
P03328,Customer Support Chatbot,Customer Support Chatbot project for ABC Corporation,2025-12-29,2026-09-09,On Hold,High
P03329,Employee Training Portal,Employee Training Portal project for Global Traders,2026-01-11,2026-12-02,Completed,Medium
P03330,Document Management System,Document Management System project for SecureNet,2025-04-16,2025-09-17,Completed,Medium
P03331,CRM Implementation,CRM Implementation project for PeopleFirst,2026-03-02,2026-12-23,In Progress,Critical
P03332,Social Media Analytics,Social Media Analytics project for DataCorp,2025-04-25,2025-10-26,In Progress,High
P03333,Customer Support Chatbot,Customer Support Chatbot project for IndustrialTech,2026-02-20,2026-08-09,In Progress,Critical
P03334,Warehouse Automation,Warehouse Automation project for SecureNet,2025-12-12,2026-02-20,Completed,Low
P03335,HR Automation System,HR Automation System project for SalesPro,2025-10-21,2025-12-29,Delayed,Medium
P03336,Customer Support Chatbot,Customer Support Chatbot project for DigitalHub,2026-03-09,2026-12-25,In Progress,Medium
P03337,Cloud Migration Project,Cloud Migration Project project for MedCare Hospitals,2026-03-08,2026-05-25,Delayed,Medium
P03338,HR Automation System,HR Automation System project for MarketPlus,2025-05-03,2025-07-22,Delayed,Low
P03339,Social Media Analytics,Social Media Analytics project for EduTech,2025-08-14,2025-11-26,In Progress,High
P03340,Social Media Analytics,Social Media Analytics project for DataCorp,2025-10-18,2026-03-19,On Hold,Medium
P03341,Cloud Migration Project,Cloud Migration Project project for MarketPlus,2025-04-02,2025-07-08,Delayed,High
P03342,Healthcare Management System,Healthcare Management System project for LogiTech,2025-08-02,2026-03-23,Planning,Low
P03343,HR Automation System,HR Automation System project for Global Traders,2025-01-25,2025-11-29,Planning,Critical
P03344,CRM Implementation,CRM Implementation project for SalesPro,2025-09-21,2026-04-23,Completed,Medium
P03345,Cloud Migration Project,Cloud Migration Project project for FinTech Solutions,2025-05-04,2026-01-16,Completed,Critical
P03346,Employee Payroll System,Employee Payroll System project for MarketPlus,2025-05-14,2026-04-09,In Progress,High
P03347,CRM Implementation,CRM Implementation project for LogiTech,2026-05-07,2027-04-03,In Progress,Low
P03348,Mobile Banking Application,Mobile Banking Application project for PeopleFirst,2025-03-26,2025-12-06,In Progress,High
P03349,Mobile Banking Application,Mobile Banking Application project for MarketPlus,2025-03-14,2025-05-19,In Progress,Medium
P03350,Employee Payroll System,Employee Payroll System project for ABC Retail,2025-07-12,2026-05-05,Planning,Medium
P03351,Inventory Management System,Inventory Management System project for CloudWorks,2025-01-15,2025-10-29,In Progress,Medium
